id,url,file_name,title,description,date,license,creator
1,https://www.flickr.com/photos/86809087@N00/75240024,75240024_e2d7b6a60e_o,Racoons,Racoons at Amsterdam Zoo,19.07.2005,https://creativecommons.org/licenses/by-nc-nd/2.0/,Nick Hull
2,https://www.flickr.com/photos/70816538@N00/156916504,156916504_b1b7189731_o,Baby racoon,"Jeff and I found some baby racoons when we were cleaning out a shed. Dad took one out to show the boys. The mother racoon moved that babies to a new, safer hideout that night.",26.05.2006,https://creativecommons.org/licenses/by/2.0/,Tim Wilson 
3,https://www.flickr.com/photos/40055757@N00/131161855,131161855_8b38e16aba_o,Racoon up a tree!!!!,This is a tree - with a Racoon up it!,19.04.2006,https://creativecommons.org/licenses/by-nc-nd/2.0/,Ken Douglas 
4,https://www.flickr.com/photos/11585318@N03/1661844206,1661844206_b26a58dfe1_o,Racoons,[no description provided],23.10.2006,https://creativecommons.org/licenses/by/2.0/,Brendan Lally 
5,https://www.flickr.com/photos/57256462@N07/8139291982,8139291982_0852d5659f_o,Racoon,"A racoon, I've seen at Wildpark Pforzheim",29.07.2012,https://creativecommons.org/licenses/by-nc-nd/2.0/,Cloudtail the Snow Leopard 
6,https://www.flickr.com/photos/29487672@N07/9028706253,9028706253_60429a6a0a_o,Racoon - June 2013,"Racoon in the back yard - Camas, WA",12.06.2013,https://creativecommons.org/licenses/by-nd/2.0/,Scott 97006 
7,https://www.flickr.com/photos/37912373962@N01/47055300612,47055300612_2d2dc3cfb3_o,Florida Racoon - It was their home first.,Raccoons have lived in Florida a whole lot longer than we humans. We are the invasive ones.,02.09.2010,https://creativecommons.org/licenses/by-nc-sa/2.0/,ashabot 
8,https://www.flickr.com/photos/58165192@N03/8543499448,8543499448_0cd7357ba8_o,racoon,A racoon in a hollow tree,07.03.2013,https://creativecommons.org/licenses/by/2.0/,bagsgroove 
9,https://www.flickr.com/photos/12484557@N02/5270122630,5270122630_5f9034eb69_o,Racoon Baby,"Heard the crows howling the other day and came outside to see this poor little Racoon baby huddled halfway up the tree. They are enemies since racoons love crow eggs I hear. He finally crawled up to the top where he tried to shove his body in a squirrel nest for a few hours, tail hanging out. Not sure when the poor thing got down. He was in the party the night before with 4 other youngsters on our porch after we accidently leaving the cat food out. Youngsters.",18.11.2010,https://creativecommons.org/licenses/by-nc-nd/2.0/,geckoam 
10,https://www.flickr.com/photos/12938199@N00/307244890,307244890_5a3b923825_o,racoon,I just got back from vacationing in knoxville TN. I stayed in a log cabin. This little guy was climbing a tree next to the back porch. ,06.11.2006,https://creativecommons.org/licenses/by/2.0/,Emmett Tullos
11,https://www.flickr.com/photos/57256462@N07/8002616418,8002616418_54051381d5_o,racoon and ferret,"A racoon and some ferrets, I've seen at Wildpark Bad Mergentheim",02.08.2012,https://creativecommons.org/licenses/by-nc-nd/2.0/,Cloudtail the Snow Leopard
12,https://www.flickr.com/photos/17094005@N00/14814781875,14814781875_8f4bf1f195_o,backyard bandits - baby racoons,looking for momma,02.08.2014,https://creativecommons.org/licenses/by-sa/2.0/,Christian Collins 
13,https://www.flickr.com/photos/73491156@N00/14711974781,14711974781_3cbc03d134_o,,Don't feed the Racoon,06.07.2014,https://creativecommons.org/licenses/by-nc-sa/2.0/,Éole Wind 
14,https://www.flickr.com/photos/91451979@N00/16785014164,16785014164_a46b6c0327_o,Urban racoon,"On Mont Royal (""The Mountain"") in central Montreal",29.06.2010,https://creativecommons.org/licenses/by/2.0/,John Mason 
